"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-14",,,"0.00","0.0","0.0","61","33","56",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-15",,,"0.00","0.0","0.0","64","36","36",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-16",,,"0.00","0.0","0.0","60","30","47",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-17",,,"0.04","0.0","0.0","52","40","39",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-18",,,"0.00","0.0","0.0","55","27","35",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-19",,,"0.00","0.0","0.0","55","18","34",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-20",,,"0.00","0.0","0.0","55","29","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-21",,,"0.02","0.0","0.0","53","33","40",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-22",,,"0.08","0.0","0.0","58","37","38",,"    1",,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-23",,,"0.00","0.0","0.0","54","25","45",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-24",,,"0.01","0.0","0.0","49","37","37",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-25",,,"0.00","0.0","0.0","44","25","34",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-26",,,"0.00","0.0","0.0","55","19","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-27",,,"0.00","0.0","0.0","64","20","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-28",,,"0.04","0.0","0.0","49","28","35",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-02-29",,,"0.00","0.0","0.0","59","19","45",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-01",,,"0.00","0.0","0.0","49","37","40",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-02",,,"0.00","0.0","0.0","62","27","37",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-03",,,"0.00","0.0","0.0","63","22","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-04",,,"0.00","0.0","0.0","68","24","40",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-05",,,"0.02","0.0","0.0","55","37","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-06",,,"0.07","0.0","0.0","51","36","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-07",,,"0.00","0.0","0.0","57","34","40","    1",,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-08",,,"0.00","0.0","0.0","54","29","45",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-09",,,"0.05","0.0","0.0","55","35","35",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-10",,,"0.00","0.0","0.0","54","22","34",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-11",,,"0.00","0.0","0.0","65","20","50",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-12",,,"0.00","0.0","0.0","62","30","40",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-13",,,"0.00","0.0","0.0","65","25","40",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-14",,,"0.00","0.0","0.0","70","24","45",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-15",,,"0.00","0.0","0.0","65","30","39",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-16",,,"0.00","0.0","0.0","60","20","38",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-17",,,"0.00","0.0","0.0","54","30","43",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-18",,,"0.00","0.0","0.0","60","28","34",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-19",,,"0.00","0.0","0.0","67","24","60",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-20",,,"0.20","1.5","0.0","39","29","32",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-21",,,"0.05","1.0","0.0","49","30","42",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-22",,,"0.00","0.0","0.0","58","27","47",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-23",,,"0.00","0.0","0.0","70","32","44",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-24",,,"0.00","0.0","0.0","70","34","48",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-25",,,"0.00","0.0","0.0","71","40","54",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-26",,,"0.00","0.0","0.0","75","39","52",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-27",,,"0.00","0.0","0.0","78","32","62",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-28",,,"0.10","0.0","0.0","62","47","47",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-29",,,"0.05","0.0","0.0","65","33","44",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-30",,,"0.00","0.0","0.0","54","33","44",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-03-31",,,"0.00","0.0","0.0","53","40","49",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-01",,,"0.00","0.0","0.0","62","30","40",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-02",,,"0.00","0.0","0.0","70","30","55",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-03",,,"0.00","0.0","0.0","70","35","50",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-04",,,"0.00","0.0","0.0","82","33","70",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-05",,,"0.00","0.0","0.0","87","42","59",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-06",,,"0.00","0.0","0.0","85","47","55",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-07",,,"0.00","0.0","0.0","77","52","52",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-08",,,"0.00","0.0","0.0","82","35","59",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-09",,,"0.00","0.0","0.0","84","38","56",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-10",,,"0.00","0.0","0.0","92","42","55",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-11",,,"0.00","0.0","0.0","77","40","56",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-12",,,"0.00","0.0","0.0","84","40","63",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-13",,,"0.00","0.0","0.0","85","42","55",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-14",,,"0.00","0.0","0.0","70","52","54",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-15",,,"0.00","0.0","0.0","67","44","51",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-16",,,"0.00","0.0","0.0","77","40","52",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-17",,,"0.00","0.0","0.0","84","38","67",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-18",,,"0.00","0.0","0.0","67","42","49",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-19",,,"0.00","0.0","0.0","69","35","49",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-20",,,"0.00","0.0","0.0","75","34","54",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-21",,,"0.00","0.0","0.0","82","45","65",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-22",,,"0.00","0.0","0.0","70","55","55",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-23",,,"0.00","0.0","0.0","82","50","63",,,,,,
"USW00023170","HANKSVILLE, UT US","38.37497","-110.71906","1304.5","2000-04-24",,,"0.00","0.0","0.0","75","51","51",,,,,,
