,TIME,LOCATION,Spending_USD,Life_Expectancy
140,1978,AUS,483.297,73.7
141,1978,AUT,545.92,72.16666666666667
142,1978,BEL,502.708,72.76666666666667
143,1978,CHE,764.246,75.36666666666667
144,1978,DEU,729.457,72.39999999999999
145,1978,DNK,659.843,74.53333333333333
146,1978,ESP,276.854,74.36666666666667
147,1978,FIN,380.409,73.03333333333333
148,1978,IRL,342.642,71.5
149,1978,ISL,557.895,76.66666666666667
150,1978,JPN,392.577,75.66666666666667
151,1978,KOR,53.136,65.3
152,1978,LUX,458.135,72.03333333333333
153,1978,NLD,605.118,75.26666666666667
154,1978,NOR,503.217,75.73333333333333
155,1978,NZL,503.71,72.7
156,1978,PRT,179.873,70.5
157,1978,SWE,694.669,75.60000000000001
158,1978,TUR,61.946,57.300000000000004
159,1978,USA,808.884,73.46666666666665
160,1979,AUS,526.757,74.3
161,1979,AUT,624.629,72.46666666666665
162,1979,BEL,562.939,73.26666666666667
163,1979,CAN,692.269,75.1
164,1979,CHE,843.331,75.66666666666667
165,1979,DEU,800.703,72.76666666666667
166,1979,DNK,739.095,74.33333333333333
167,1979,ESP,296.83,74.93333333333334
168,1979,FIN,434.11,73.23333333333333
169,1979,IRL,395.014,72.26666666666667
170,1979,JPN,452.931,76.2
171,1979,KOR,80.144,65.63333333333334
172,1979,LUX,524.174,72.73333333333333
173,1979,NLD,674.308,75.7
174,1979,NOR,525.509,75.7
175,1979,NZL,508.089,72.89999999999999
176,1979,PRT,191.184,71.3
177,1979,SWE,772.614,75.63333333333333
178,1979,TUR,68.975,57.699999999999996
179,1979,USA,908.963,73.89999999999999
180,1980,AUS,592.397,74.55
181,1980,AUT,710.874,72.60000000000001
182,1980,BEL,592.436,73.3
183,1980,CAN,791.812,75.23333333333333
184,1980,CHE,960.567,75.66666666666667
185,1980,DEU,908.166,72.89999999999999
186,1980,DNK,797.086,74.23333333333333
187,1980,ESP,330.297,75.43333333333334
188,1980,FIN,492.762,73.63333333333334
189,1980,FRA,659.826,74.3
190,1980,GBR,385.099,73.2
191,1980,IRL,475.486,72.86666666666666
192,1980,ISL,721.81,76.89999999999999
193,1980,JPN,535.016,76.10000000000001
194,1980,KOR,91.64,66.13333333333334
195,1980,LUX,597.923,72.8
196,1980,NLD,750.628,75.86666666666667
197,1980,NOR,608.152,75.83333333333333
198,1980,NZL,500.307,73.16666666666667
199,1980,PRT,255.535,71.43333333333334
200,1980,SWE,898.269,75.86666666666666
201,1980,TUR,73.429,58.06666666666666
202,1980,USA,1036.3,73.7
203,1981,AUS,668.212,74.86666666666667
204,1981,AUT,659.718,72.93333333333334
205,1981,BEL,668.863,73.7
206,1981,CAN,898.807,75.46666666666667
207,1981,CHE,1068.338,75.89999999999999
208,1981,DEU,1014.713,73.16666666666667
209,1981,DNK,871.592,74.36666666666666
210,1981,ESP,360.758,75.66666666666667
211,1981,FIN,554.428,73.93333333333334
212,1981,GBR,433.957,73.8
213,1981,IRL,491.625,72.86666666666666
214,1981,ISL,822.528,76.53333333333335
215,1981,JPN,603.965,76.46666666666665
216,1981,KOR,107.636,66.66666666666667
217,1981,LUX,654.62,72.60000000000001
218,1981,NLD,808.222,76.0
219,1981,NOR,677.42,76.03333333333335
220,1981,NZL,563.139,73.4
221,1981,PRT,289.173,71.73333333333333
222,1981,SWE,965.897,76.16666666666667
223,1981,TUR,90.39,58.5
224,1981,USA,1191.537,74.10000000000001
225,1982,AUS,705.505,74.66666666666667
226,1982,AUT,704.081,73.10000000000001
227,1982,BEL,741.748,73.96666666666665
228,1982,CAN,996.086,75.60000000000001
229,1982,CHE,1146.744,76.23333333333333
230,1982,DEU,1044.528,73.46666666666667
231,1982,DNK,956.108,74.7
232,1982,ESP,389.049,76.26666666666667
